sampleid	Axis_1	Axis_2	Axis_3
SRR6468506	-0.047370354936573	-0.008171428390372	0.025085809476407
SRR6468507	-0.060958054311394	-0.058988966462751	-0.110055951874088
SRR6468508	-0.033844392700976	-0.025707821311284	0.053674754676734
SRR6468509	-0.050137989955897	0.037712655939277	0.042878841905642
SRR6468510	0.001447555805038	0.055898373040837	0.103306664782516
SRR6468511	0.031827068772499	0.011013661308908	0.012872830929243
SRR6468512	-0.036502403739477	0.027774208723798	-0.007107558251807
SRR6468513	-0.013515351012791	-0.030152163396142	0.076684071618365
SRR6468514	-0.059539177206354	0.047364287621062	-0.015130662226085
SRR6468515	-0.054181194423299	-0.003105770779756	-0.02566581502145
SRR6468516	-0.058060927492715	-0.008309319110493	-0.03029446272193
SRR6468517	0.036495362799866	-0.016120258217986	-0.111223410916732
SRR6468518	-0.019126845094162	-0.010374250270304	-0.020478121228308
SRR6468519	-0.037806291011719	0.064110754261225	-0.052239938437165
SRR6468520	-0.013826996704174	-0.111637308982911	-0.008680212742209
SRR6468522	-0.063678638723981	-0.077975025382637	0.001374882762512
SRR6468523	-0.066889437926634	-0.061356321664015	0.097398998902874
SRR6468524	-0.050691751498556	0.007455931560897	-0.042944026940955
SRR6468525	-0.00490885371686	-0.080026424769559	-0.031339922591321
SRR6468526	0.055958056487273	-0.135388740411316	-0.036902414616239
SRR6468527	0.040963375172479	-0.000642934333342	0.068588226570555
SRR6468528	-0.057894228820543	0.009946009471466	0.033894642470153
SRR6468529	-0.011121805293115	0.039308725055444	-0.055710144611136
SRR6468530	-0.084475378588661	0.006366400467901	0.026065786793036
SRR6468531	-0.041180475726908	-0.031844652617074	-0.029720420199319
SRR6468532	-0.0674205748254	-0.100966310706453	-0.013045921909215
SRR6468533	-0.045529457376382	0.007569350894057	0.00903865975659
SRR6468534	-0.072712103826365	-0.076151629113669	-0.023716125315101
SRR6468535	0.001154751016453	0.042780669383035	0.041014597421828
SRR6468536	-0.022074946844777	0.038521430763424	-0.022643640830893
SRR6468537	-0.041586686479655	0.066084564121181	0.058390177522792
SRR6468538	-0.029544077489028	0.092677451573007	-0.023272145824357
SRR6468539	0.040906112124222	-0.061647402888569	-0.008847629048403
SRR6468540	-0.070541148975116	-0.069037129435839	-0.006124564029283
SRR6468541	-0.035698169456732	0.028043774708978	-0.085247724364421
SRR6468542	-0.0232974760112	0.007681038771036	0.034138507879607
SRR6468543	-0.023154746972949	0.014731817451949	-0.146217510421919
SRR6468544	-0.032149115145952	0.040758460040653	-0.041553497778299
SRR6468545	-0.026216648386532	0.028425180839595	-0.077257619924892
SRR6468546	-0.070737248085815	0.016212884631199	-0.068715237404692
SRR6468547	-0.031369916792162	0.034327395258857	-0.027450281727685
SRR6468548	-0.064649987432581	0.0333924809265	-0.046259905225319
SRR6468549	0.043627985050257	-0.095759414533551	-0.074319893673576
SRR6468550	-0.01243589683228	0.030444955333559	-0.122331470732601
SRR6468551	0.002456055535766	0.050263099860953	-0.002493677497602
SRR6468552	-0.033833304903683	-0.011573314288702	-0.039152698681194
SRR6468553	-0.010993110988107	0.034255198329565	-0.054261761365808
SRR6468554	0.052664143444519	-0.002202081294768	0.003439746230793
SRR6468555	-0.007774398145897	0.004296359516349	-0.053486716136198
SRR6468556	-0.01604071270961	-0.091319343158062	0.019819853097993
SRR6468557	0.037755543453975	-0.075929249855044	0.018271588017625
SRR6468558	-0.031117509216431	0.015636424694004	-0.058900093163061
SRR6468559	-0.035224565052657	-0.040559297697169	0.04182547604656
SRR6468560	-0.039624561488403	-0.013695697441073	0.015344283195047
SRR6468561	-0.020957413755476	0.009166306750831	0.049265829249798
SRR6468562	0.125188889015144	0.066128148117994	-0.003874297170522
SRR6468563	0.12667778941985	0.038635413679997	-0.005484462469663
SRR6468564	0.002038781613428	-0.047025244431602	0.025786580284018
SRR6468565	-0.035898494629782	-0.100654499550159	-0.016270529666285
SRR6468566	-0.050630855695474	-0.014594340943357	0.008835425333173
SRR6468567	-0.025491370171365	0.007277305602491	-0.092548417706203
SRR6468568	0.062578344384703	-0.031226267077597	-0.040028917406399
SRR6468569	-0.024774484832863	-0.022489804585609	-0.126298976063715
SRR6468570	-0.007110482868954	0.042409148724165	0.018697490875675
SRR6468571	0.021760190363123	-0.105590734964816	-0.020449144650997
SRR6468572	0.124384228587295	0.015813360756312	0.030171378764468
SRR6468573	-0.018119853962787	-0.037720870318063	-0.17138458048733
SRR6468574	-0.028957123758671	0.052531119072468	-0.014103003368371
SRR6468575	0.042203632134416	-0.109247113364318	0.053548264977119
SRR6468576	-0.032620229128893	0.028317116139859	0.05001202207686
