featureid	Intercept	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SPORT17]	time_point
K02403	-0.744312151416471	-2.50648399758026	-1.210334678664	0.480658036342299	-0.279183866439212
K02404	-1.06653354977005	1.19401368928269	0.87597749613306	-0.50874592674669	-0.00585892608557975
K02405	0.12344016219742	-0.660737182375638	-0.769867440237789	-1.78371621979173	0.455402927490127
K02406	1.159498219297	0.212466199520381	-0.34280683614233	-1.81944395912584	0.326327996345412
K02407	0.363140479580233	-0.0509895341365025	-0.304163237585812	-1.47712131155428	0.314938681217086
K02408	-0.129964574321439	-0.916795338865964	-1.13410629846075	-1.66227121962007	0.408684687705886
K02409	-0.450504287227323	-1.02076360153839	-1.07944502450445	-1.77451171291765	0.489598231407058
K02410	0.437557534233401	-0.370498801943509	-0.397460182680874	-1.49731223596033	0.345785515399825
K02411	-0.372079118236234	-0.986350859877317	-0.772154172434597	-1.8265695155948	0.428792493434798
K02412	0.510418430820772	-0.52679237293884	-0.17592810608366	-1.82614775312837	0.409463064762008
K02413	-0.44991610859268	-1.79183861183807	-1.5824779472492	-2.13708927048143	0.55447675475682
K02414	-0.539445265277555	0.985564862015994	0.558621326909275	0.565798145404494	-0.107182694582093
K02415	-1.18923400257461	-3.32895466255829	-2.59405364610174	-2.11291589153703	0.700548129173171
K02416	0.0181971945918296	-0.872335757490842	-1.14341737843969	-1.80625291479524	0.441657023521316
K02417	0.321250454441378	-0.17771920132324	-0.432365795149594	-1.42294250739511	0.303826110454452
K02418	-0.391646250232389	-0.07915591764137	-0.883751829638271	-1.00708008868393	-0.103955252079118
K02419	-0.163006528361967	-0.807642783400266	-1.13384523011663	-1.78565194023546	0.478889422508132
K02420	-1.42781756733291	-1.38766905235931	-3.77180137254217	-3.95100798023637	0.679194467159164
K02421	-0.154734714969328	-0.395865823504178	-0.555867692007809	-1.36672409189638	0.267165200801742
K02422	0.453803316608736	-0.187111731049268	-0.669950445666104	-1.60046728266176	0.301779763790023
K02423	-1.26046226833694	-0.851574148413389	-1.70975305654028	2.14409981357161	-0.517474306730378
K02424	0.866201178089449	0.815764818909915	0.698465148434849	-0.580716568359696	0.248693900199782
K02425	-1.28607486103409	-2.69273945259735	-0.0298694721601297	1.41293368922774	-0.240065200237382
K02426	2.54771150733597	0.596734647277148	0.00894954286596282	-0.962873774895036	0.0207237769087669
K02427	-0.314980133517912	-1.81633707451507	-0.158859243168621	1.0290309010655	-0.424206538108933
K02428	2.80543662692673	0.882604931119235	0.524520943389149	-0.896816927322709	0.178253607841384
K02429	2.62842024947769	1.34173849654511	0.239971230254383	-0.708298671373689	-0.0649927388707284
K02430	-2.14986513470047	-1.79227420258209	0.157811159715862	3.07050905810896	-0.419758154062379
K02431	-1.55050109241836	1.12468681168869	0.8266281285145	0.0725738822132711	0.53821744212712
K02433	0.859647408977816	0.122686986449511	0.571298758015842	-1.7798314870685	0.558959620090377
K02434	0.949530065909693	0.037040804150851	0.478224525675983	-1.73584576261934	0.58876253852452
K02435	0.572389737621615	0.46197604072407	0.585136035905094	-1.78560932291444	0.490559058280837
K02436	-1.47134540890091	-0.612712587591855	0.0510397064321349	2.36212311374251	-0.53075964560901
K02437	1.79677732373841	0.744567487958224	0.431973109469623	-1.41947387469705	0.205760167928588
K02438	-1.06343267773025	-0.658805038210599	0.328054884896488	1.7191160737187	-0.301035402325738
K02439	-0.893858893855741	1.60931948256806	1.11521623514673	1.34670935260359	-0.121825782565225
K02440	0.301070407882998	-0.537187780615537	-0.214884807839184	-2.01754500282701	0.64911581763829
K02441	-1.07521150921219	-0.823706354376523	-0.95704879380682	1.54615865336958	-0.213841127214778
K02443	-2.47734878872268	1.09484515023545	-1.46032645322302	-0.270875889190995	0.648170845600021
K02444	-2.43706892345779	1.52296522689179	0.102308406011076	-0.0643943728297587	0.664008097740066
K02445	-0.0464116177403238	1.51262715888336	1.92162523649713	0.379925352206862	-0.166010981408704
K02446	-0.496228440746	-0.762141193625181	0.212851712928028	1.26943622218672	-0.139557091502297
K02450	-2.62010477398269	-1.80313130783722	-1.23253383256414	2.55662832843367	-0.198970200476992
K02452	-1.70253942821853	-2.37567063736603	-1.73890914536932	2.48604045497481	-0.235255405289877
K02453	-0.526862963184049	0.161420312348159	2.03585074327967	2.11410103427473	-0.415063230303872
K02454	-1.53881429050796	-0.356790270086972	0.131325128004761	2.36542807208601	-0.148910818604577
K02455	-1.55105493877762	-0.319643522974698	0.20661816977045	2.34243474589888	-0.319856030849564
K02456	-1.79142044399612	0.0173942638666942	-0.114224990381985	2.64538846599165	-0.290399273840535
K02457	-1.46729992245071	-0.74189635681793	-1.77423026181677	2.6153517781407	-0.331934904662717
K02458	-1.93455313061111	-1.13844427036926	0.803557375893802	2.07080970393721	-0.190620368329633
K02459	-1.25499533031814	-2.84689160751983	-2.14894308663824	1.86836991893355	-0.157511739043343
K02460	-1.25398991917007	-0.98411568569824	-0.565600176825314	2.17136583911482	-0.299318039772857
K02461	-1.10787866924637	-2.2080318586795	-0.00443779073575036	1.9929529248387	-0.275763025490392
K02462	-1.34665273044937	-1.28119775223419	-1.97166528321722	2.29477320300642	-0.236303500814188
K02464	-1.42731426571243	-1.19228311943695	-1.51287462331274	1.78511653529707	-0.623568100837815
K02466	-1.85592983578079	-0.0736811416117832	0.0973410815753649	2.11988816844527	-0.498228831199754
K02467	-1.16556261394851	-2.42750355171844	-0.402458985819607	2.00470719920698	-0.458232847956765
K02468	-0.710072024806669	-1.68888935017273	-2.06139697648504	1.82318697558943	-0.517009807733643
K02469	3.0590522446788	0.482357059243472	0.526382128224583	-1.24075802726444	0.330807523818862
K02470	3.26535178805954	0.487286422971041	0.481422463879795	-1.1319174220204	0.303277390094649
K02471	-0.10622714374893	-1.62415501045868	-0.400595774426251	1.01232276546065	-0.538321180252183
K02472	0.440052942291567	1.18823424411133	1.27200518034479	0.586757761111892	0.0381796229800102
