featureid	Intercept	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SFM028]	donor_source[T.SPORT17]	donor_source[T.SPORT4]	time_point
K00313	0.463580357073351	0.7340300875282	-1.26564681632484	-0.572946505880206	-0.341565742459108	-1.90887900990188	0.277907341238297
K00318	-2.39317336475988	-0.823053042354612	-1.36409664256538	0.805088115596921	1.32473088863869	0.399530978978274	-0.367037032279932
K00322	-0.328950909735159	0.0257833498096183	-1.01998174293007	-1.00868459258065	-0.41434512969475	-2.96306940716446	0.292673974748886
K00324	-0.706850318075613	0.208231051502199	0.0201699425462374	-1.95662851843819	-0.87862496015053	0.0442033131724573	0.478336423155106
K00325	-1.03464558518072	0.338981290397616	-0.390706301760327	-1.78482337508187	-0.542322918143083	0.236591668904421	0.426038354154862
K00330	0.445300640700861	0.121091474828692	1.05715602533852	1.3967075177671	1.18777646187324	1.11050655144512	-0.0448519592320553
K00331	1.06151330673556	-0.254514186593322	1.22468650238549	2.09514717545524	0.952457979951094	1.39214399653733	-0.122873187545501
K00332	-1.11504998600622	-4.10686163133624	1.90541863338982	3.0199625917913	-0.502301975455095	1.68080535727799	-0.114578783992492
K00333	-1.17650785839696	-4.08475808328631	1.87488627331292	3.05524591889396	-0.445732697214891	1.59857639867127	-0.0881789331471554
K00334	0.0577558001265963	0.110915650663348	1.51601779358422	1.72148625340477	0.580011681351851	1.38434478837311	0.0239553446734317
K00335	0.261016579507395	-0.254749166729479	1.65851247208153	1.66990773167625	0.670331672463606	1.3625624795562	0.0640640552008518
K00336	0.368636967776819	0.837963779506655	1.24115532534157	1.4595041104795	0.381311134133528	1.15390449959099	0.0660492773020633
K00337	1.17376676404337	-0.333082909646063	1.04927569525277	1.51698736634269	0.781740144524763	0.995357850671408	-0.0786266033684841
K00338	0.692819239734217	-0.249800282480745	0.966126709151615	1.66558639493004	0.611265734467695	0.741985024989245	-0.0846965615784756
K00339	0.228669407008692	-0.225818367625205	1.73703122036492	2.38737527813926	0.911358491215895	1.63614365655243	-0.0777478222882382
K00340	-0.507817296148733	0.417150815067263	2.21371519463097	2.67720298256889	1.26239134434242	1.98109558421433	-0.0334135596787564
K00341	0.934010835526987	-0.375391657414465	1.10906398193871	1.60261849846855	0.80991537931938	1.17460257011711	-0.0611422066723935
K00342	1.26570680940013	-0.706159691276579	0.834846137929309	1.42131475892082	0.416785672936628	0.753517123044131	-0.0774506931340329
K00343	0.428607346652552	-0.0436031026268288	1.11255592005287	1.75448064293876	0.854530230794142	0.965770164609549	-0.0271188025509945
K00344	-0.462759403349356	0.162609000740023	-0.925104857515942	-0.995639639234393	-0.350612297024538	-2.67334481877029	0.30952933382634
K00346	0.558385750441357	-0.558653305234937	1.37924969093834	1.42908082690254	0.897834674153517	1.31944579082787	-0.160238445285522
K00347	0.679264823137327	-0.903268973293333	1.20699787037407	1.21979056086555	0.533006027970503	1.12137307423413	-0.148675889257156
K00348	0.179690601466699	-0.744418005409269	1.17052763598	0.689160106444508	0.817682043347548	0.636103334010241	0.0468692476714023
K00349	0.488419624208017	-0.458550373973875	0.974519877601016	1.0881799289228	1.20247365597267	1.15788753527462	-0.127583265784942
K00350	0.531588057218595	-0.461806128683119	1.27587664024865	1.36505590167061	1.04997886780281	1.43872228461563	-0.0816939179932705
K00351	0.627704810513659	-0.392718280615835	1.05103742973839	0.95831118311897	1.2292717850544	1.0586214942044	-0.0641463403737179
