featureid	Intercept	disease[T.IBS]	disease[T.UC]	gender[T.M]	donor_id_manual[T.DONOR2_T2_B2]	donor_id_manual[T.DONOR3_T1_B1]	donor_id_manual[T.DONOR3_T2_B2]	donor_id_manual[T.DONOR3_T3_B6]	donor_id_manual[T.DONOR7_T1_B8]	donor_id_manual[T.DONOR7_T2_B8]	donor_id_manual[T.SFM028_T1_B1]	donor_id_manual[T.SPORT17_T1_B3]	donor_id_manual[T.SPORT4_T1_B8]	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SFM028]	donor_source[T.SPORT17]	donor_source[T.SPORT4]	donor_gender[T.M]	status[T.BEFORE]	age	donor_age
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
ACRB	0.24331627943768	-2.75331168822371	1.25909993751198	-0.410252260868079	-1.12109378854243	6.16868001165298	0.519943746523215	0.680228776799945	-1.47761359696205	-1.17855057664789	1.54540491175766	-0.493478222535207	-1.37779203644739	-1.12052934577402	-3.72810401436156	1.1766866002805	-0.216082261588711	-1.31023351389628	2.60739266833004	0.460180210092893	0.128334002569318	-0.198460929830057
MDTB	-1.85375465295063	-0.643922263899675	1.57963798148781	0.50961281090545	-2.66332534829584	2.28951436223892	-2.34903892616813	-1.16608350766966	-0.0611434269409914	-2.15637788721002	1.45037841868515	-1.0075539786082	-1.65256468049036	-0.127326599859561	-0.911866087878409	0.779096678329202	-0.944715426948208	-1.58500663477641	0.750891565882529	0.505700158098569	0.141011403873563	-0.110323720414621
MDTC	2.0053108797337	-0.220987850943437	2.19071052177102	0.153742921646111	-3.85755495110957	2.0061209792128	-2.6665361795861	-1.27113597883055	-1.73221722130592	-1.25276932664789	0.355715215922548	-1.48832957331951	-2.11209360352502	-0.0665337662928953	-4.11082353111571	0.512726322246286	-1.49632112839474	-2.04453651148539	1.08180797060665	0.714353488901487	0.156438993290067	-0.279247754056437
ERMB	-0.556335104915958	2.48773354836381	-2.96923585841208	0.400477063949578	3.62169559916052	-4.43123996315094	4.8604368295234	-2.53365676893065	2.43664702887718	3.17566516450964	-1.85027694630508	1.62998320276921	0.688667380895752	0.104098357654248	4.13157723430329	-1.78199021475246	2.53977637580381	0.756225903446858	-2.13262092361513	-0.751914022347102	-0.263627545908093	0.413166365783232
CPXAR	-1.04710675618396	-1.33420091322981	0.518273330761496	0.00847221642302776	-1.98178819695917	2.30517893972305	-1.78469308952873	-0.262108259332868	-0.376938490913465	-1.47309884973443	0.530560017348482	-1.38922040049846	-1.7492758392428	-0.628759897851314	-1.21880855079955	0.603718951774331	-0.591426538016933	-1.68171707827311	0.796263813578452	0.134517358759275	0.128065483644605	-0.100095444161875
MEFE	2.78764031985058	1.88518733330644	-2.74354936973899	-2.14316408604813	2.80449803789648	-5.81147706565949	3.18235484023507	1.37937895165613	-0.0649690914612551	1.46087724916064	-0.142310648440168	3.30591262991612	1.07585879572882	-0.186949304842318	2.5748535502308	-0.0720948721640385	0.894853664848667	1.14341731827993	-0.945461631215249	-0.473230255624423	-0.32269143871963	0.431731349985617
TET32	0.976153613712925	0.814755549511084	-2.98091659007836	-1.26302376658154	0.790178498826348	-3.94065803346726	1.29534212012704	2.28645426737001	1.07904943938439	2.96272268346869	-1.30066019225006	3.07830061133091	2.95890405186667	1.99724591562811	1.70164273265534	-1.23237346069744	1.04038150450931	2.80029435914296	1.51211368998226	-1.16177643634952	-0.142974523827434	0.189073718349951
MDTO	-0.360171450588566	-0.904508525648942	1.95907018287331	0.880487096603387	-1.86916307488886	4.43679124059585	-1.04031190018241	-0.242662243974897	-0.279710440681531	-2.13882932611383	1.08765292239304	-0.806805058167531	-1.14949384919153	-0.0780123393767728	-1.36384047981567	1.31489498956272	-0.662970708396572	-1.08193604189616	2.04347312411007	0.415159749010435	0.145277606323361	-0.248624079663736
ASMA	1.90453837969555	-0.985292250433793	1.66764590842873	0.243283522422784	-1.49741510430781	2.86058980169205	-1.42589577774589	-0.565432958734723	-1.27847424034889	-0.748863315066466	0.190396905661776	-1.11774365489299	-1.85916343918787	-0.865336916946734	-3.15135516640014	0.336783424449655	-1.86470978119625	-1.79160467821818	0.368170380198325	0.175086425760618	0.132610963657498	-0.244032018620951
EPTA	0.508605049636502	0.0569489652720782	1.78039596183449	1.2185658338623	-2.41169504205195	3.24231225194839	-1.70057186226432	-0.53254120839903	-0.962119488761975	-2.11395654626764	-1.22328877377395	-0.972934647248342	-1.16642252198206	0.324559040761624	-1.02921046730346	-1.15500204222134	-1.10477392533078	-1.09886399943095	1.77117502649959	0.471739577272764	0.140743659809232	-0.285853558022959
