featureid	Intercept	disease[T.IBS]	disease[T.UC]	gender[T.M]	donor_id_manual[T.DONOR2_T2_B2]	donor_id_manual[T.DONOR3_T1_B1]	donor_id_manual[T.DONOR3_T2_B2]	donor_id_manual[T.DONOR3_T3_B6]	donor_id_manual[T.DONOR7_T1_B8]	donor_id_manual[T.SFM028_T1_B1]	donor_id_manual[T.SPORT17_T1_B3]	donor_id_manual[T.SPORT4_T1_B8]	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SFM028]	donor_source[T.SPORT17]	donor_source[T.SPORT4]	donor_gender[T.M]	status[T.BEFORE]	age	donor_age
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
VFG043084(gi:15801200)	-1.71070430789675	-1.11729582356555	-0.280144913813898	-0.800261406587171	-0.098810205076422	0.085618247304644	-0.848459201944726	-0.220384499856404	-0.195910629417215	-0.676659948059491	0.00642594418355397	-0.470925126470892	0.372118833847344	-0.19467697675739	-0.676653838583401	0.643147723642843	-0.456488854258454	-0.195619706915958	0.0775630327207701	0.00700031101171459	0.0992927277194602
VFG043095(gi:15802301)	-1.29310558353152	-0.196449301711151	-0.30945692839367	-0.0986703437619976	-1.04031244835683	0.343662967000689	-0.109896707428353	-0.0774069343294416	-0.300469678427492	-1.0640785161938	-0.275794099058424	-0.629391643464831	-1.46023267190903	-0.299236025767667	-1.06406644625323	-0.54653684619282	-0.614955371252394	-0.671758127318961	-0.336516871835504	0.0259734831883439	0.0713876891615135
VFG043096(gi:15802302)	-0.340624671322959	-0.230588770977088	-0.270270629546472	-0.133571545021342	-1.05730299076864	0.672445287023272	-0.379348005247968	-0.0621726427759443	-0.336055618311678	0.777295821479389	0.111260113332953	-0.461718843564657	-0.222405937127769	-0.334821965651853	0.777302646211215	-0.247409641849143	-0.44728257135222	0.389606411648648	0.12161730251142	0.0285699844493398	-0.0242244754252689
VFG043108(gi:15802374)	-0.513884734255927	-0.29914886461837	2.10484583792942	-1.91987559048991	-0.629268446777548	-0.920861254419599	0.962186884986503	-0.515794127115182	2.75751796684095	1.4993044670139	-0.789082053090845	-0.50082331641045	-0.296845701150596	2.74944018189396	1.49617060380323	-0.744659645589335	-0.486387044198013	-0.451024417685611	0.61449055394956	-0.0177844527975789	0.0936708232121808
VFG043079(gi:15801195)	0.882657904284341	0.634562887677125	-1.49934695543987	0.723081798864795	0.511250695373331	-1.08560765811375	0.544284355746848	-0.0971327040876661	-0.406775218035494	0.382533916405269	0.815969673011984	-0.145439955652026	0.262553575821221	-0.405541565375669	0.382540532520839	0.0421400534787348	-0.131003683439589	0.388498361302274	-0.279652580405985	-0.0341268077359668	-0.0117889721212643
VFG043101(gi:15802357)	-0.381146337730544	0.857679285534791	-0.541881455800363	0.690049321962787	-0.797309348200049	-0.397785345997129	-0.486032011998551	-0.111128113099507	-0.363619547869478	0.395013117364475	0.343174723003592	-0.31408401137617	-0.314778414182365	-0.362385895209653	0.395019912293979	-0.525333536895258	-0.299647739163733	-0.0619580791464873	-0.265357598449503	0.00942017996151532	-0.00569095502474479
VFG043114(gi:15802380)	1.07619025196348	0.135273673066071	1.35100205359714	-0.815852849172162	0.589544078494821	-1.85863364764622	0.80578107844506	-1.17201246959823	-0.214100178863321	0.971759610942432	-0.0235874680536134	-0.11323303288248	1.74715900737792	-0.212866526203496	0.971884214452335	-0.540345652135355	-0.0987967606700424	0.693183000279324	0.1119922252638	-0.0612692840264312	0.0306701879682285
VFG043099(gi:15802355)	0.661221701758248	1.18720332575696	0.713459925034217	1.14627424032827	-1.63490662894079	1.11187433174678	-0.272945436728852	-0.0918425534452711	-0.549881972904716	0.435347044042179	0.17167690119573	-0.236134025514392	0.173311236687005	-0.548648320244891	0.435353868774005	-0.805132730039103	-0.221697753301955	1.32872896928872	-0.0451626924531801	0.0423903867735394	-0.161140859526183
VFG043078(gi:15801194)	0.980231661455972	0.391734041699341	-1.4243099528764	-0.589074818776654	-0.625368678782667	-1.2709035379546	0.794120025741202	-0.0462062869753156	-0.257816996957575	0.499128871730396	0.876396146629538	-0.30026223069456	-0.306368943862617	-0.25658334429775	0.49913292484624	0.306305782763021	-0.285825958482123	-0.00836915235434255	0.0112203212721007	-0.0306285999582282	0.0255053486408932
VFG042718(gi:15801636)	-0.471405785424369	-0.237999453714916	-0.00484643759472025	-0.788076190637159	-0.617991993044104	0.478757609639849	0.168960762130363	-0.0668759856905256	-0.165871765996729	-0.575042254158429	0.0747787030679839	-0.413070957422523	-0.0848314134404063	-0.164638113336904	-0.575035429426602	-0.0268948805651494	-0.398634685210085	-0.0419347928038665	0.20779357871839	0.0158212624623307	0.00273793895861932
VFG043088(gi:15802293)	0.00830449547086443	-0.194203920236656	-2.33315758290035	0.0533704921736249	-0.944495985124792	0.638296593938555	-0.352782125664609	-0.000913492270878391	-0.358463299061571	-0.842285460659436	-0.562449040796076	-0.412332984864978	-0.299428310804069	-0.357229646401746	-0.842278635927609	0.00298118766929423	-0.397896712652541	0.408807571125882	-0.0998826769845826	0.0288880013062486	-0.0466865305123585
VFG006022(gi:116627988)	0.533860880987985	-2.0943152527724	4.49545557914036	-3.40675636975627	0.309876402999674	-3.34798098632268	0.653896641837699	1.59714547651155	-0.0302128461854799	-0.423009580799512	-1.5157697526472	1.50155007535193	-0.394857418350875	-0.0289791935256549	-0.423002875276974	-0.881713731320841	3.48944249189725	-1.53677767972861	0.190540775869574	-0.0338514380023948	0.133457758996103
VFG043100(gi:15802356)	0.548770267622811	0.449844159611634	-0.0213242608521665	0.26113185436864	-0.596027472828116	0.391021479879107	-0.229180115354913	-0.0553079162325178	-0.288907643939768	-0.558374768921307	-0.081835421706949	-0.1869912177923	0.768637660332024	-0.287673991279943	-0.55836794418948	0.600624339548605	-0.172554945579863	1.02831333417978	0.22302179059812	0.0195417340977916	-0.119779140156295
VFG005324(gi:55820544)	1.73977353061949	0.481183208950928	0.139668182709387	-0.0385382979975215	1.64397039094142	-3.27851654120854	0.700689745055778	3.28137365835054	-0.250369575406824	-1.01381570739406	1.78628107628652	3.36719667607519	1.55331373531371	-0.249135922746999	-1.01380888266223	-0.735144240888102	3.3467828277432	0.217028196049588	-1.14269830265215	-0.091544241444873	0.0376045401873333
VFG043075(gi:15801191)	0.585296411173684	-0.177057317963668	-0.699973373434373	-0.209906159328031	-0.544875012551035	0.704240192685809	-0.844751524818795	-0.0120361064161573	2.19219008407422	0.516939484647342	-0.401396612610136	-0.399038593530921	-0.314287689141929	2.19244216744389	0.516946309379169	0.692956225840109	-0.384602321318484	-0.681101341652019	0.942624852274145	0.0133079562469253	-0.07438415328839
VFG006075(gi:116628177)	-0.415733706099646	-1.3737182240401	5.39583619056003	-2.41724774091105	1.35259546914271	-2.39290500708989	1.24256916056786	1.53274384992463	-0.0385265914457185	-0.0183065001453672	-2.26003435530833	3.27053034001562	0.461061600036919	-0.0372929387858936	-0.0182996754135404	-0.256428239973528	2.7515872958981	0.147538538170712	-0.27876357712916	-0.0329315408931247	0.0570615377011044
